Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,10:13:12.678897,,1,-1.0
1,10:13:13.230344,,1,-1.0
1,10:13:13.778056,,1,-1.0
1,10:13:14.320185,,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,10:13:14.871255,,1,-1.0
2,10:13:16.261526,,1,-1.0
2,10:13:16.809993,,1,-1.0
2,10:13:17.355868,,1,-1.0
2,10:13:17.900551,,1,-1.0
2,10:13:18.443718,,1,-1.0
2,10:13:18.989524,,1,-1.0
2,10:13:19.534537,,1,-1.0
2,10:13:20.080132,,1,-1.0
2,10:13:20.628195,,1,-1.0
2,10:13:21.173259,,1,-1.0
2,10:13:21.729040,,1,-1.0
2,10:13:22.281491,,1,-1.0
2,10:13:22.833073,,1,-1.0
2,10:13:23.385816,,1,-1.0
2,10:13:23.934043,,1,-1.0
2,10:13:24.475255,,1,-1.0
2,10:13:25.018402,,1,-1.0
2,10:13:25.561618,,1,-1.0
2,10:13:26.106782,,1,-1.0
2,10:13:26.654014,,1,-1.0
2,10:13:27.198840,,1,-1.0
2,10:13:27.748329,,1,-1.0
2,10:13:28.296174,,1,-1.0
2,10:13:28.847713,,1,-1.0
2,10:13:29.393773,,1,-1.0
2,10:13:29.936898,,1,-1.0
2,10:13:30.484228,,1,-1.0
2,10:13:31.028629,,1,-1.0
2,10:13:31.581830,,1,-1.0
2,10:13:32.125293,,1,-1.0
2,10:13:32.677465,,1,-1.0
2,10:13:33.231636,,1,-1.0
2,10:13:33.782033,,1,-1.0
2,10:13:34.336292,,1,-1.0
2,10:13:35.716901,,1,-1.0
2,10:13:36.428132,,-1,-1.0
2,10:13:37.016987,,-1,-1.0
2,10:13:37.568269,,-1,-1.0
2,10:13:38.115139,,-1,-1.0
2,10:13:38.666225,,-1,-1.0
2,10:13:39.215972,,1,-1.0
2,10:13:39.761321,,1,-1.0
2,10:13:40.302149,,1,-1.0
2,10:13:40.856389,,1,-1.0
2,10:13:41.407100,,1,-1.0
2,10:13:41.960365,,1,-1.0
2,10:13:42.511095,,1,-1.0
2,10:13:43.063431,,1,-1.0
2,10:13:43.618985,,1,-1.0
2,10:13:44.169500,,1,-1.0
2,10:13:44.720975,,1,-1.0
2,10:13:45.264666,,1,-1.0
2,10:13:45.807933,,1,-1.0
2,10:13:46.358894,,1,-1.0
2,10:13:46.906305,,1,-1.0
2,10:13:47.451967,,1,-1.0
2,10:13:48.001749,,1,-1.0
2,10:13:48.547148,,1,-1.0
2,10:13:49.101038,,1,-1.0
2,10:13:49.652255,,1,-1.0
2,10:13:50.201170,,1,-1.0
2,10:13:50.751034,,1,-1.0
2,10:13:51.300924,,1,-1.0
2,10:13:51.849153,,1,-1.0
2,10:13:52.403321,,1,-1.0
2,10:13:52.956180,,1,-1.0
2,10:13:53.509766,,1,-1.0
2,10:13:54.063243,,1,-1.0
2,10:13:54.610914,,1,-1.0
2,10:13:55.157042,,1,-1.0
2,10:13:55.707418,,1,-1.0
2,10:13:56.260834,,1,-1.0
2,10:13:56.814055,,1,-1.0
2,10:13:57.370908,,1,-1.0
2,10:13:57.921069,,1,-1.0
2,10:13:58.474929,,1,-1.0
2,10:13:59.027107,,1,-1.0
2,10:13:59.579365,,1,-1.0
2,10:14:00.135294,,1,-1.0
2,10:14:00.688055,,1,-1.0
2,10:14:02.081935,,1,-1.0
2,10:14:02.634247,,1,-1.0
2,10:14:03.178146,,1,-1.0
2,10:14:03.729881,,1,-1.0
2,10:14:04.282001,,1,-1.0
2,10:14:04.832977,,1,-1.0
2,10:14:05.383627,,1,-1.0
2,10:14:05.930140,,1,-1.0
2,10:14:06.472982,,1,-1.0
2,10:14:07.016203,,1,-1.0
2,10:14:07.565300,,1,-1.0
2,10:14:08.108239,,1,-1.0
2,10:14:08.654046,,1,-1.0
2,10:14:09.196887,,1,-1.0
2,10:14:09.742793,,1,-1.0
2,10:14:10.294218,,1,-1.0
2,10:14:10.843084,,1,-1.0
2,10:14:11.387187,,1,-1.0
2,10:14:11.935818,,1,-1.0
2,10:14:12.486742,,1,-1.0
2,10:14:13.035789,,1,-1.0
2,10:14:13.589622,,1,-1.0
2,10:14:14.141015,,1,-1.0
2,10:14:14.688589,,1,-1.0
2,10:14:15.238826,,1,-1.0
2,10:14:15.784446,,1,-1.0
2,10:14:16.331316,,1,-1.0
2,10:14:16.874309,,1,-1.0
2,10:14:17.417811,,1,-1.0
2,10:14:17.966501,,1,-1.0
2,10:14:18.516979,,1,-1.0
2,10:14:19.061238,,1,-1.0
2,10:14:19.611112,,1,-1.0
2,10:14:20.160027,,1,-1.0
2,10:14:20.730634,,1,-1.0
2,10:14:21.281615,,1,-1.0
2,10:14:21.886825,,1,-1.0
